id,Parent Path,complete Name,name,plankton_id,Plankton Breadcrumbs,Level Match?,Plankton Level,parent_id,query
2570,1529/2570/,Earphone / Earphone Ear Monitor / Iem,Earphone Ear Monitor / Iem,3418538,Aksesoris Gadget & Komputer > Portable Audio > Earphone > Earphone Ear Monitor / Iem,Not Match,4,3418506,update product_category set plankton_id='3418538' where id=2570;
1485,1485/,Effect Processor,Effect Processor,3445805,Alat Musik & Pro Audio > Pro Audio > Effect Processor,Not Match,3,3445313,update product_category set plankton_id='3445805' where id=1485;
1486,1485/1486/,Effect Processor / Vocal Effect,Vocal Effect,3445821,Alat Musik & Pro Audio > Pro Audio > Effect Processor > Vocal Effect,Not Match,4,3445805,update product_category set plankton_id='3445821' where id=1486;
3745,3745/,Electrical & Lighting,Electrical & Lighting,11013455983,Electrical & Lighting,Match,1,,update product_category set plankton_id='11013455983' where id=3745;
696,696/,Electrical Component & System,Electrical Component & System,7200222510,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System,Not Match,3,6829726858,update product_category set plankton_id='7200222510' where id=696;
1976,696/1976/,Electrical Component & System / Cable or Wire Lug,Cable or Wire Lug,6832902059,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Cable or Wire Lug,Not Match,4,7200222510,update product_category set plankton_id='6832902059' where id=1976;
3016,696/3016/,Electrical Component & System / Circuit Breakers,Circuit Breakers,6832934446,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Circuit Breakers,Not Match,4,7200222510,update product_category set plankton_id='6832934446' where id=3016;
2657,696/2657/,Electrical Component & System / Contactors,Contactors,6832926498,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Contactors,Not Match,4,7200222510,update product_category set plankton_id='6832926498' where id=2657;
3700,696/3700/,Electrical Component & System / Current Limiter,Current Limiter,6832953451,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Current Limiter,Not Match,4,7200222510,update product_category set plankton_id='6832953451' where id=3700;
2799,696/2799/,Electrical Component & System / Electrical Plug/Receptacle Adapter,Electrical Plug/Receptacle Adapter,6832879101,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Electrical Plug/Receptacle Adapter,Not Match,4,7200222510,update product_category set plankton_id='6832879101' where id=2799;
1771,696/1771/,Electrical Component & System / Electrical Plugs,Electrical Plugs,6832891254,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Electrical Plugs,Not Match,4,7200222510,update product_category set plankton_id='6832891254' where id=1771;
2671,696/2671/,Electrical Component & System / Lightning Protection Apparatus and Accessories,Lightning Protection Apparatus and Accessories,6832969079,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Lightning Protection Apparatus and Accessories,Not Match,4,7200222510,update product_category set plankton_id='6832969079' where id=2671;
1999,696/1999/,Electrical Component & System / Locking Plug,Locking Plug,6832897205,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Locking Plug,Not Match,4,7200222510,update product_category set plankton_id='6832897205' where id=1999;
3358,696/3358/,Electrical Component & System / Overload Relay,Overload Relay,6832930554,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Overload Relay,Not Match,4,7200222510,update product_category set plankton_id='6832930554' where id=3358;
3044,696/3044/,Electrical Component & System / Panelboards,Panelboards,6910695926,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Panelboards,Not Match,4,7200222510,update product_category set plankton_id='6910695926' where id=3044;
697,696/697/,Electrical Component & System / Power Fuse,Power Fuse,6832938422,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Power Fuse,Not Match,4,7200222510,update product_category set plankton_id='6832938422' where id=697;
2200,696/2200/,Electrical Component & System / Solar Panel Electricity System,Solar Panel Electricity System,7200228798,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Solar Panel Electricity System,Not Match,4,7200222510,update product_category set plankton_id='7200228798' where id=2200;
3712,696/3712/,Electrical Component & System / Terminal Strips,Terminal Strips,6832885989,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Component & System > Terminal Strips,Not Match,4,7200222510,update product_category set plankton_id='6832885989' where id=3712;
1072,1072/,Electrical Equipment and Components and Supplies,Electrical Equipment and Components and Supplies,6829726858,Electrical & Lighting > Electrical Equipment and Components and Supplies,Not Match,2,11013455983,update product_category set plankton_id='6829726858' where id=1072;
1073,1072/1073/,Electrical Equipment and Components and Supplies / Power Conditioning Equipment,Power Conditioning Equipment,6910667990,Electrical & Lighting > Electrical Equipment and Components and Supplies > Power Conditioning Equipment,Not Match,3,6829726858,update product_category set plankton_id='6910667990' where id=1073;
1971,1072/1073/1971/,Electrical Equipment and Components and Supplies / Power Conditioning Equipment / Electric Power Saver,Electric Power Saver,10142085262,Electrical & Lighting > Electrical Equipment and Components and Supplies > Power Conditioning Equipment > Electric Power Saver,Not Match,4,6910667990,update product_category set plankton_id='10142085262' where id=1971;
1514,1072/1073/1514/,Electrical Equipment and Components and Supplies / Power Conditioning Equipment / Power Adapters or Inverters,Power Adapters or Inverters,6910683256,Electrical & Lighting > Electrical Equipment and Components and Supplies > Power Conditioning Equipment > Power Adapters or Inverters,Not Match,4,6910667990,update product_category set plankton_id='6910683256' where id=1514;
1438,1438/,Electrical Hardware and Supplies,Electrical Hardware and Supplies,6832786741,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies,Not Match,3,6829726858,update product_category set plankton_id='6832786741' where id=1438;
1439,1438/1439/,Electrical Hardware and Supplies / Cable Clips,Cable Clips,6832911720,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies > Cable Clips,Not Match,4,6832786741,update product_category set plankton_id='6832911720' where id=1439;
1522,1438/1522/,Electrical Hardware and Supplies / Cable Splicing Kits,Cable Splicing Kits,6832906861,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies > Cable Splicing Kits,Not Match,4,6832786741,update product_category set plankton_id='6832906861' where id=1522;
3372,1438/3372/,Electrical Hardware and Supplies / Cable Tie Kit,Cable Tie Kit,6832916330,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies > Cable Tie Kit,Not Match,4,6832786741,update product_category set plankton_id='6832916330' where id=3372;
1734,1438/1734/,Electrical Hardware and Supplies / Cable Ties,Cable Ties,6832922972,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies > Cable Ties,Not Match,4,6832786741,update product_category set plankton_id='6832922972' where id=1734;
3029,1438/3029/,Electrical Hardware and Supplies / Electrical Insulator Rod,Electrical Insulator Rod,6910658713,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies > Electrical Insulator Rod,Not Match,4,6832786741,update product_category set plankton_id='6910658713' where id=3029;
2920,1438/2920/,Electrical Hardware and Supplies / Electrical Insulators,Electrical Insulators,6910653668,Electrical & Lighting > Electrical Equipment and Components and Supplies > Electrical Hardware and Supplies > Electrical Insulators,Not Match,4,6832786741,update product_category set plankton_id='6910653668' where id=2920;
127,127/,Electrical Power Measuring Tools & Instruments,Electrical Power Measuring Tools & Instruments,6839234510,Measuring Instruments > Electrical Power Measuring Tools & Instruments,Not Match,2,6829758512,update product_category set plankton_id='6839234510' where id=127;
128,127/128/,Electrical Power Measuring Tools & Instruments / Ammeters,Ammeters,6839293703,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Ammeters,Not Match,3,6839234510,update product_category set plankton_id='6839293703' where id=128;
986,127/986/,Electrical Power Measuring Tools & Instruments / Clamp on Multimeter,Clamp on Multimeter,7077862737,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Clamp on Multimeter,Not Match,3,6839234510,update product_category set plankton_id='7077862737' where id=986;
2374,127/2374/,Electrical Power Measuring Tools & Instruments / Earth Resistance Testers,Earth Resistance Testers,10140411777,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Earth Resistance Testers,Not Match,3,6839234510,update product_category set plankton_id='10140411777' where id=2374;
3331,127/3331/,Electrical Power Measuring Tools & Instruments / Electrical Insulating Tape,Electrical Insulating Tape,10142068986,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Electrical Insulating Tape,Not Match,3,6839234510,update product_category set plankton_id='10142068986' where id=3331;
2760,127/2760/,Electrical Power Measuring Tools & Instruments / Insulation Testers,Insulation Testers,10141890266,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Insulation Testers,Not Match,3,6839234510,update product_category set plankton_id='10141890266' where id=2760;
3097,127/3097/,Electrical Power Measuring Tools & Instruments / Measuring & Testing Accessories,Measuring & Testing Accessories,10143389914,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Measuring & Testing Accessories,Not Match,3,6839234510,update product_category set plankton_id='10143389914' where id=3097;
755,127/755/,Electrical Power Measuring Tools & Instruments / Multimeters,Multimeters,6839313376,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Multimeters,Not Match,3,6839234510,update product_category set plankton_id='6839313376' where id=755;
754,127/754/,Electrical Power Measuring Tools & Instruments / Voltage Tester,Voltage Tester,6911740410,Measuring Instruments > Electrical Power Measuring Tools & Instruments > Voltage Tester,Not Match,3,6839234510,update product_category set plankton_id='6911740410' where id=754;
2293,2293/,Electrical Wire,Electrical Wire,6834100878,"Electrical & Lighting > Wire, Cable & Accesories > Electrical Wire",Not Match,3,6829716921,update product_category set plankton_id='6834100878' where id=2293;
2294,2293/2294/,Electrical Wire / Extension Cord,Extension Cord,6837140227,"Electrical & Lighting > Wire, Cable & Accesories > Electrical Wire > Extension Cord",Not Match,4,6834100878,update product_category set plankton_id='6837140227' where id=2294;
3033,2293/3033/,Electrical Wire / Power Cable,Power Cable,6837206731,"Electrical & Lighting > Wire, Cable & Accesories > Electrical Wire > Power Cable",Not Match,4,6834100878,update product_category set plankton_id='6837206731' where id=3033;
2005,2005/,Emergency Eye Wash and Shower Equipment,Emergency Eye Wash and Shower Equipment,6901622473,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment,Not Match,3,6829680133,update product_category set plankton_id='6901622473' where id=2005;
2431,2005/2431/,Emergency Eye Wash and Shower Equipment / Combination Eye Wash Stations,Combination Eye Wash Stations,6901629767,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Combination Eye Wash Stations,Not Match,4,6901622473,update product_category set plankton_id='6901629767' where id=2431;
3201,2005/3201/,Emergency Eye Wash and Shower Equipment / Drench Showers,Drench Showers,6901632979,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Drench Showers,Not Match,4,6901622473,update product_category set plankton_id='6901632979' where id=3201;
3038,2005/3038/,Emergency Eye Wash and Shower Equipment / Emergency Eye Wash Stations,Emergency Eye Wash Stations,6901664764,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Emergency Eye Wash Stations,Not Match,4,6901622473,update product_category set plankton_id='6901664764' where id=3038;
2006,2005/2006/,Emergency Eye Wash and Shower Equipment / Emergency Eye Wash and Shower Accessories,Emergency Eye Wash and Shower Accessories,6901637452,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Emergency Eye Wash and Shower Accessories,Not Match,4,6901622473,update product_category set plankton_id='6901637452' where id=2006;
2011,2005/2011/,Emergency Eye Wash and Shower Equipment / Eye Wash Heating Jackets,Eye Wash Heating Jackets,6902245785,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Eye Wash Heating Jackets,Not Match,4,6901622473,update product_category set plankton_id='6902245785' where id=2011;
2127,2005/2127/,Emergency Eye Wash and Shower Equipment / Personal Eye Wash Stations,Personal Eye Wash Stations,6902380769,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Personal Eye Wash Stations,Not Match,4,6901622473,update product_category set plankton_id='6902380769' where id=2127;
3177,2005/3177/,Emergency Eye Wash and Shower Equipment / Pressurized Portable Eye Wash Stations,Pressurized Portable Eye Wash Stations,6902387002,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Pressurized Portable Eye Wash Stations,Not Match,4,6901622473,update product_category set plankton_id='6902387002' where id=3177;
2876,2005/2876/,Emergency Eye Wash and Shower Equipment / Self-Contained Eye Wash Stations,Self-Contained Eye Wash Stations,6902391907,Safety & Security > Safety > Emergency Eye Wash and Shower Equipment > Self-Contained Eye Wash Stations,Not Match,4,6901622473,update product_category set plankton_id='6902391907' where id=2876;
1254,1254/,Emergency Lighting and Accessories,Emergency Lighting and Accessories,6878632401,Electrical & Lighting > Lamps and Lightbulbs and Lighting Accessories > Emergency Lighting and Accessories,Not Match,3,6878342200,update product_category set plankton_id='6878632401' where id=1254;
3188,1254/3188/,Emergency Lighting and Accessories / Emergency Light Unit,Emergency Light Unit,6878877731,Electrical & Lighting > Lamps and Lightbulbs and Lighting Accessories > Emergency Lighting and Accessories > Emergency Light Unit,Not Match,4,6878632401,update product_category set plankton_id='6878877731' where id=3188;
2662,1254/2662/,Emergency Lighting and Accessories / Flashlight,Flashlight,6878880813,Electrical & Lighting > Lamps and Lightbulbs and Lighting Accessories > Emergency Lighting and Accessories > Flashlight,Not Match,4,6878632401,update product_category set plankton_id='6878880813' where id=2662;
1626,1254/1626/,Emergency Lighting and Accessories / Flood Light,Flood Light,6878883748,Electrical & Lighting > Lamps and Lightbulbs and Lighting Accessories > Emergency Lighting and Accessories > Flood Light,Not Match,4,6878632401,update product_category set plankton_id='6878883748' where id=1626;
1255,1254/1255/,Emergency Lighting and Accessories / Strobe or Warning Lights,Strobe or Warning Lights,7077859228,Electrical & Lighting > Lamps and Lightbulbs and Lighting Accessories > Emergency Lighting and Accessories > Strobe or Warning Lights,Not Match,4,6878632401,update product_category set plankton_id='7077859228' where id=1255;
1867,1867/,Emergency and Field Medical Services Kits,Emergency and Field Medical Services Kits,6839096238,Health & Lab > Medical Equipment and Accessories and Supplies > Emergency and Field Medical Services Kits,Not Match,3,6829802434,update product_category set plankton_id='6839096238' where id=1867;
3068,1867/3068/,Emergency and Field Medical Services Kits / Mobile Medical Services First Aid Kits,Mobile Medical Services First Aid Kits,6839128248,Health & Lab > Medical Equipment and Accessories and Supplies > Emergency and Field Medical Services Kits > Mobile Medical Services First Aid Kits,Not Match,4,6839096238,update product_category set plankton_id='6839128248' where id=3068;
4042,1867/4042/,Emergency and Field Medical Services Kits / P3K,P3K,3437036,Health & Lab > Medical Equipment and Accessories and Supplies > Emergency and Field Medical Services Kits > P3K,Not Match,4,6839096238,update product_category set plankton_id='3437036' where id=4042;
3157,1867/3157/,Emergency and Field Medical Services Kits / Waterbag,Waterbag,10902546913,Health & Lab > Medical Equipment and Accessories and Supplies > Emergency and Field Medical Services Kits > Waterbag,Not Match,4,6839096238,update product_category set plankton_id='10902546913' where id=3157;
1868,1867/1868/,Emergency and Field Medical Services Kits / Wound Plaster,Wound Plaster,3448872,Health & Lab > Medical Equipment and Accessories and Supplies > Emergency and Field Medical Services Kits > Wound Plaster,Not Match,4,6839096238,update product_category set plankton_id='3448872' where id=1868;
1127,1127/,"Engraving, 3D Milling Machines & Accessories","Engraving, 3D Milling Machines & Accessories",3456836,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories",Not Match,2,3456516,update product_category set plankton_id='3456836' where id=1127;
2682,1127/2682/,"Engraving, 3D Milling Machines & Accessories / 3D Milling Machines",3D Milling Machines,3456868,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > 3D Milling Machines",Not Match,3,3456836,update product_category set plankton_id='3456868' where id=2682;
3147,1127/3147/,"Engraving, 3D Milling Machines & Accessories / 3D Milling Machines Accessories",3D Milling Machines Accessories,6683006425,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > 3D Milling Machines Accessories",Not Match,3,3456836,update product_category set plankton_id='6683006425' where id=3147;
2771,1127/2771/,"Engraving, 3D Milling Machines & Accessories / Dental Milling Machines",Dental Milling Machines,6682859511,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > Dental Milling Machines",Not Match,3,3456836,update product_category set plankton_id='6682859511' where id=2771;
2573,1127/2573/,"Engraving, 3D Milling Machines & Accessories / Engraving Accessories",Engraving Accessories,3456884,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > Engraving Accessories",Not Match,3,3456836,update product_category set plankton_id='3456884' where id=2573;
1467,1127/1467/,"Engraving, 3D Milling Machines & Accessories / Engraving Machines",Engraving Machines,3456852,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > Engraving Machines",Not Match,3,3456836,update product_category set plankton_id='3456852' where id=1467;
2077,1127/2077/,"Engraving, 3D Milling Machines & Accessories / Impact Printer Accesories",Impact Printer Accesories,6682875653,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > Impact Printer Accesories",Not Match,3,3456836,update product_category set plankton_id='6682875653' where id=2077;
1128,1127/1128/,"Engraving, 3D Milling Machines & Accessories / Impact Printers",Impact Printers,6682866803,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > Impact Printers",Not Match,3,3456836,update product_category set plankton_id='6682866803' where id=1128;
1961,1127/1961/,"Engraving, 3D Milling Machines & Accessories / Laser Cutting and Engraving Machine",Laser Cutting and Engraving Machine,3456900,"Printing and Digital Imaging > Engraving, 3D Milling Machines & Accessories > Laser Cutting and Engraving Machine",Not Match,3,3456836,update product_category set plankton_id='3456900' where id=1961;
877,877/,Enterprise Server,Enterprise Server,3451500,Server and Data Storage > Server > Enterprise Server,Not Match,3,3451485,update product_category set plankton_id='3451500' where id=877;
878,877/878/,Enterprise Server / Enterprise Server Blade 2 Cpu,Enterprise Server Blade 2 Cpu,3451516,Server and Data Storage > Server > Enterprise Server > Enterprise Server Blade 2 Cpu,Not Match,4,3451500,update product_category set plankton_id='3451516' where id=878;
2033,877/2033/,Enterprise Server / Enterprise Server Blade 4 Cpu,Enterprise Server Blade 4 Cpu,3451532,Server and Data Storage > Server > Enterprise Server > Enterprise Server Blade 4 Cpu,Not Match,4,3451500,update product_category set plankton_id='3451532' where id=2033;
1747,877/1747/,Enterprise Server / Enterprise Server Rack 2 Cpu,Enterprise Server Rack 2 Cpu,3451548,Server and Data Storage > Server > Enterprise Server > Enterprise Server Rack 2 Cpu,Not Match,4,3451500,update product_category set plankton_id='3451548' where id=1747;
2832,877/2832/,Enterprise Server / Enterprise Server Rack 4 Cpu,Enterprise Server Rack 4 Cpu,3451564,Server and Data Storage > Server > Enterprise Server > Enterprise Server Rack 4 Cpu,Not Match,4,3451500,update product_category set plankton_id='3451564' where id=2832;
1687,877/1687/,Enterprise Server / Enterprise Server Tower 2 Cpu,Enterprise Server Tower 2 Cpu,3451580,Server and Data Storage > Server > Enterprise Server > Enterprise Server Tower 2 Cpu,Not Match,4,3451500,update product_category set plankton_id='3451580' where id=1687;
1380,1380/,Environmental Quality Measuring Instruments,Environmental Quality Measuring Instruments,11013455955,Measuring Instruments > Environmental Quality Measuring Instruments,Not Match,2,6829758512,update product_category set plankton_id='11013455955' where id=1380;
1824,1380/1824/,Environmental Quality Measuring Instruments / Bore Measuring Instruments,Bore Measuring Instruments,6878284004,Measuring Instruments > Environmental Quality Measuring Instruments > Bore Measuring Instruments,Not Match,3,11013455955,update product_category set plankton_id='6878284004' where id=1824;
2255,1380/2255/,Environmental Quality Measuring Instruments / Calibration Jig,Calibration Jig,6878334824,Measuring Instruments > Environmental Quality Measuring Instruments > Calibration Jig,Not Match,3,11013455955,update product_category set plankton_id='6878334824' where id=2255;
3129,1380/3129/,Environmental Quality Measuring Instruments / Catalytic Combustion Analyzers,Catalytic Combustion Analyzers,6878305811,Measuring Instruments > Environmental Quality Measuring Instruments > Catalytic Combustion Analyzers,Not Match,3,11013455955,update product_category set plankton_id='6878305811' where id=3129;
3327,1380/3327/,Environmental Quality Measuring Instruments / Level Meter,Level Meter,7077856626,Measuring Instruments > Environmental Quality Measuring Instruments > Level Meter,Not Match,3,11013455955,update product_category set plankton_id='7077856626' where id=3327;
3271,1380/3271/,Environmental Quality Measuring Instruments / Lightmeters,Lightmeters,6878310910,Measuring Instruments > Environmental Quality Measuring Instruments > Lightmeters,Not Match,3,11013455955,update product_category set plankton_id='6878310910' where id=3271;
1381,1380/1381/,Environmental Quality Measuring Instruments / Noise meter,Noise meter,3421710,Measuring Instruments > Environmental Quality Measuring Instruments > Noise meter,Not Match,3,11013455955,update product_category set plankton_id='3421710' where id=1381;
2904,1380/2904/,Environmental Quality Measuring Instruments / Sound Measuring Apparatus or Decibel Meter,Sound Measuring Apparatus or Decibel Meter,6839327507,Measuring Instruments > Environmental Quality Measuring Instruments > Sound Measuring Apparatus or Decibel Meter,Not Match,3,11013455955,update product_category set plankton_id='6839327507' where id=2904;
2617,1380/2617/,Environmental Quality Measuring Instruments / Tachometers,Tachometers,7077858400,Measuring Instruments > Environmental Quality Measuring Instruments > Tachometers,Not Match,3,11013455955,update product_category set plankton_id='7077858400' where id=2617;
2368,1380/2368/,Environmental Quality Measuring Instruments / pH Meters,pH Meters,10141823415,Measuring Instruments > Environmental Quality Measuring Instruments > pH Meters,Not Match,3,11013455955,update product_category set plankton_id='10141823415' where id=2368;
